batch_key,venue_id,expected_name,new_name,source_id,source_url,note
rename-michelin-2026-france,ve_603d4413f2,Restaurant La Balette,La Balette,michelin,https://guide.michelin.com/en/occitanie/collioure/restaurant/la-balette,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_629548d961,CHEZ BASTIEN,Chez Bastien,michelin,https://guide.michelin.com/en/provence-alpes-cote-dazur/manosque/restaurant/chez-bastien,case only; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_63beffdf34,Auberge des Montagnes,L'Auberge des Montagnes,michelin,https://guide.michelin.com/en/auvergne-rhone-alpes/pailherols/restaurant/l-auberge-des-montagnes,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_6522e4fb4b,La Tour d'Argent,Tour d'Argent,michelin,https://guide.michelin.com/en/ile-de-france/paris/restaurant/tour-d-argent,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_65591e378b,Restaurant Arnaud Donckele & Maxime Frédéric at Louis Vuitton,Arnaud Donckele & Maxime Frédéric at Louis Vuitton,michelin,https://guide.michelin.com/en/provence-alpes-cote-dazur/saint-tropez/restaurant/arnaud-donckele-maxime-frederic-at-louis-vuitton,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_69934b07bd,Restaurant Le FAVENTIA,Faventia,michelin,https://guide.michelin.com/en/provence-alpes-cote-dazur/tourrettes/restaurant/faventia,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_6a4bcbfb3b,Hostellerie De la Pointe Saint Mathieu,Hostellerie de la Pointe Saint-Mathieu,michelin,https://guide.michelin.com/en/bretagne/plougonvelin/restaurant/hostellerie-de-la-pointe-st-mathieu,punctuation and spacing; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_6a9bd70b49,Restaurant Boma,Boma,michelin,https://guide.michelin.com/en/bretagne/vannes/restaurant/boma,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_6ad9c595f7,Restaurant Kasbur,Kasbür,michelin,https://guide.michelin.com/en/grand-est/monswiller/restaurant/kasbur,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_6ba1197b41,L' ALTER-NATIVE ⭐,L'Alter-Native,michelin,https://guide.michelin.com/en/occitanie/bziers/restaurant/l-alter-native,punctuation and spacing; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_6ba4dc026f,L'Ecailler,L'Écailler,michelin,https://guide.michelin.com/en/nouvelle-aquitaine/la-flotte/restaurant/l-ecailler,case and accents; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_6d59eb76a1,Restaurant Hyacinthe & Robert,Hyacinthe & Robert,michelin,https://guide.michelin.com/en/bretagne/pontivy/restaurant/hyacinthe-robert,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_6db828084a,Temps d'Aime,Le Temps d'Aime,michelin,https://guide.michelin.com/en/occitanie/lattes/restaurant/le-temps-d-aime,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_6ecf974e14,La fourchette à droite,La Fourchette à Droite,michelin,https://guide.michelin.com/en/bretagne/saint-malo/restaurant/la-fourchette-a-droite,case only; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_71187198ea,Ahpe,AHPĒ,michelin,https://guide.michelin.com/en/nouvelle-aquitaine/biarritz/restaurant/ahpe,case and accents; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_726a22f45a,RESTAURANT Takao Takano,Takao Takano,michelin,https://guide.michelin.com/en/auvergne-rhone-alpes/lyon/restaurant/takao-takano,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_72bc10551e,Restaurant La Palme d'Or,La Palme d'Or,michelin,https://guide.michelin.com/en/provence-alpes-cote-dazur/cannes/restaurant/la-palme-d-or,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_74cd6eb343,VIVACE,Vivace,michelin,https://guide.michelin.com/en/bretagne/trbeurden/restaurant/vivace-1208978,case only; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_76c4bce6a9,Le Jardin De Berne,Le Jardin de Berne,michelin,https://guide.michelin.com/en/provence-alpes-cote-dazur/flayosc/restaurant/le-jardin-de-berne,case only; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_76d0e682fb,Restaurant Bergamote,Bergamote,michelin,https://guide.michelin.com/en/auvergne-rhone-alpes/lyon/restaurant/bergamote,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_76f8401643,BISTROT LOUISE,Bistrot Louise,michelin,https://guide.michelin.com/en/auvergne-rhone-alpes/l-albenc/restaurant/bistrot-louise,case only; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_78e2ebdb64,Le Manoir De La Régate,Le Manoir de la Régate,michelin,https://guide.michelin.com/en/pays-de-la-loire/nantes/restaurant/manoir-de-la-regate,case only; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_7c2090b77f,Auberge des Chenêts,Auberge des Chenets,michelin,https://guide.michelin.com/en/bourgogne-franche-comte/valloux/restaurant/auberge-des-chenets,case and accents; Michelin is the only publisher that can vote
