place_id,action,class,keeper,instruction,source,google_name,other_rows
ChIJ7VMKEAiMGGARwI1hrc3Fo_0,KEEP_PIN_HOME,UNCLASSIFIED,Sushi Kanesaka Palace Hotel Tokyo [tokyo],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Sushi Kanesaka Palace Hotel Tokyo,Sushi Kanesaka Palace Hotel Tokyo [london] | Sushi Kanesaka Palace Hotel Tokyo [seoul]
ChIJ7ZD3RdYvdTERrGcxMFTiVio,KEEP_PIN_HOME,UNCLASSIFIED,Tales by Chapter [ho-chi-minh-city],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Tales by Chapter,Tales by Chapter [hanoi]
ChIJ8yFFGSlljEcRm_RqW1MdE9M,KEEP,TWIN,chez-philippe [geneva],"memphis is own venue, rename Chez Philippe; matcher bug class: diacritic",verified-pass-2026-08-24,Chez Philippe - Bar Grill,Chez Philippe - Bar Grill [geneva] | Chez Philippe - Bar Grill [memphis]
ChIJ91E5TZp754gR6UAe4qltcFE,KEEP_PIN_HOME,UNCLASSIFIED,Coro Restaurant [orvieto],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Coro Restaurant,Coro Restaurant [orlando]
ChIJ98WP_xuTfEgRmdYlkSNf7PM,KEEP_PIN_HOME,UNCLASSIFIED,SOURCE at Gilpin Hotel [windermere],machine pass: pin-home + name test; other-row class pending,dryrun-v2,SOURCE at Gilpin Hotel,SOURCE at Gilpin Hotel [ambleside]
ChIJ9TQ7NGq1r1QR9Hp5bZrbjm8,KEEP_PIN_HOME,UNCLASSIFIED,AMANO | Mexican [caldwell],machine pass: pin-home + name test; other-row class pending,dryrun-v2,AMANO | Mexican,AMANO | Mexican [christchurch]
ChIJ9eVxliqawEcRxNSKQrQ-EeA,KEEP_PIN_HOME,UNCLASSIFIED,La Becasse Aachen [aachen],machine pass: pin-home + name test; other-row class pending,dryrun-v2,La Becasse Aachen,La Becasse Aachen [osaka]
ChIJAQAAFZnGyIARERIBHMs-GFk,KEEP_PIN_HOME,UNCLASSIFIED,Vetri Cucina Las Vegas [las-vegas],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Vetri Cucina Las Vegas,Vetri Cucina Las Vegas [philadelphia]
ChIJAaUQEqp0sEcRY7t-jjdRGVM,KEEP_PIN_HOME,UNCLASSIFIED,Restaurant MARIE [hanover],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Restaurant MARIE,Restaurant MARIE [amsterdam]
ChIJB1gklZX3cg0RISg_Z4oLBsI,KEEP_PIN_HOME,UNCLASSIFIED,Beluga - Mediterranean Restaurant [malaga],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Beluga - Mediterranean Restaurant,Beluga - Mediterranean Restaurant [maastricht]
ChIJC5cEVxvPKxMR9iLcFzapgLA,KEEP_PIN_HOME,UNCLASSIFIED,Poggio Rosso Ristorante [castelnuovo-berardenga],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Poggio Rosso Ristorante,Poggio Rosso Ristorante [milan]
ChIJC9P-B80JAWARt5f5efZh6es,KEEP_PIN_HOME,UNCLASSIFIED,Kaiten Sushi Ginza Onodera Kyoto [kyoto],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Kaiten Sushi Ginza Onodera Kyoto,Kaiten Sushi Ginza Onodera Kyoto [tokyo]
ChIJCXlmZIoS6YARCtgzv_8npoI,KEEP,MERGE,the-stonehouse [santa-barbara],montecito row merges; montecito slug stays non-canonical (ZIP-93108 rule),verified-pass-2026-08-24,The Stonehouse Restaurant,The Stonehouse Restaurant [montecito] | The Stonehouse Restaurant [santa-barbara]
ChIJCYoQXG6dX0YRQvD9fggfOA0,KEEP_PIN_HOME,UNCLASSIFIED,Restaurant Ergo [stockholm],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Restaurant Ergo,Restaurant Ergo [dubai]
ChIJCcAxi5RYwokRdUqdw5_FHIk,KEEP_PIN_HOME,UNCLASSIFIED,Café Boulud at Maison BARNES [new-york],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Café Boulud at Maison BARNES,Café Boulud at Maison BARNES [toronto]
ChIJCwP48WAP9EcRE1P1i_b7cEs,KEEP_PIN_HOME,UNCLASSIFIED,Restaurant Troisgros Le Bois sans feuilles [ouches],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Restaurant Troisgros Le Bois sans feuilles,Restaurant Troisgros Le Bois sans feuilles [lyon]
ChIJD-ENYHWBDkgRv2QOxnp_LLs,KEEP_PIN_HOME,UNCLASSIFIED,DOMA - Cuisine d’humeur & Vins chinés [saint-malo],machine pass: pin-home + name test; other-row class pending,dryrun-v2,DOMA - Cuisine d’humeur & Vins chinés,DOMA - Cuisine d’humeur & Vins chinés [miami]
ChIJD89n8vIABDQRwSAsuLBsR60,KEEP_PIN_HOME,UNCLASSIFIED,Imperial Treasure Fine Chinese Cuisine (Tsim Sha Tsui) [hong-kong],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Imperial Treasure Fine Chinese Cuisine (Tsim Sha Tsui,Imperial Treasure Fine Chinese Cuisine (Tsim Sha Tsui [guangzhou]
ChIJE6dnsMNPhUcRdBj9ai38FwM,KEEP,MERGE,restaurant-magdalena [rickenbach],lucerne row merges; slug non-canonical,verified-pass-2026-08-24,Restaurant Magdalena,Restaurant Magdalena [rickenbach] | Restaurant Magdalena [lucerne]
ChIJExcPIfK_wokRtc6K_3jkhgM,KEEP_PIN_HOME,UNCLASSIFIED,Blue Hill at Stone Barns [tarrytown],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Blue Hill At Stone Barns,Blue Hill At Stone Barns [new-york]
ChIJF4nE3yQU9YgRQYpaRDibsts,KEEP_PIN_HOME,UNCLASSIFIED,Spring Restaurant [marietta],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Spring Restaurant,Spring Restaurant [atlanta]
ChIJG6LF5SBljEcRV2X1bg60qdk,KEEP_PIN_HOME,UNCLASSIFIED,L' Aparté [montrabe],machine pass: pin-home + name test; other-row class pending,dryrun-v2,L' Aparté,L'Aparté [geneva]
ChIJGUAOnZhdXz4ROe5rPCQCUkU,KEEP_PIN_HOME,UNCLASSIFIED,Indochine Restaurant [dubai],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Indochine Restaurant,Indochine Restaurant [stellenbosch]
ChIJGV4vnJu02YgRRPZ2RRlUZbQ,KEEP_PIN_HOME,UNCLASSIFIED,The Bazaar by José Andrés [miami],machine pass: pin-home + name test; other-row class pending,dryrun-v2,The Bazaar by José Andrés,The Bazaar by José Andrés [new-york]
ChIJGWKxvwDorRIR_Sa9zGZSSRE,KEEP_PIN_HOME,UNCLASSIFIED,L' épicurien [albi],machine pass: pin-home + name test; other-row class pending,dryrun-v2,L' épicurien,L' épicurien [herve]
ChIJH2jZ86GlfDURAVZBp3imf64,KEEP_PIN_HOME,UNCLASSIFIED,L'Amitié Cheongdam [seoul],machine pass: pin-home + name test; other-row class pending,dryrun-v2,L'Amitié Cheongdam,L'Amitié Cheongdam [tokyo]
ChIJI34gYz_OrUwRq8dOvDJBkmM,KEEP,TWIN,primo [rockland],"orlando own venue, confirmed open, own id",verified-pass-2026-08-24,Primo Restaurant,Primo Restaurant [rockland] | Primo Restaurant [orlando]
ChIJISt2ZCz7w0cRvZj4g3X2IBU,KEEP_PIN_HOME,UNCLASSIFIED,Restaurant Nuance [duffel],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Restaurant Nuance,Restaurant Nuance [plomeur]
ChIJIVXumiDPCUcR4Bsn7EjbqMw,KEEP_PIN_HOME,UNCLASSIFIED,elements DELI RESTAURANT LOUNGE [princeton],machine pass: pin-home + name test; other-row class pending,dryrun-v2,elements DELI RESTAURANT LOUNGE,elements DELI RESTAURANT LOUNGE [dresden]
ChIJIeYKDErvxUcRtQ0L_0LXrms,KEEP_PIN_HOME,UNCLASSIFIED,Cheval Blanc Restaurant [heemstede],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Cheval Blanc Restaurant,Cheval Blanc Restaurant [illschwang] | Cheval Blanc Restaurant [basel]
ChIJJUYTasceQg0RRDvKAk9NHOM,KEEP_PIN_HOME,UNCLASSIFIED,Restaurante Chirón [valdemoro],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Restaurante Chirón,Restaurante Chirón [madrid]
ChIJJyybR4xx5kcRiTv3fACK9Y0,KEEP_PIN_HOME,UNCLASSIFIED,ARMANI/RISTORANTE PARIS [paris],machine pass: pin-home + name test; other-row class pending,dryrun-v2,ARMANI/RISTORANTE PARIS,ARMANI/RISTORANTE PARIS [new-york]
ChIJK-M2b3FwsjUREyHSEAAx9Oc,KEEP_PIN_HOME,UNCLASSIFIED,Crystal Jade Restaurant [shanghai],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Crystal Jade Restaurant,Crystal Jade Restaurant [hong-kong]
